Sub-task Order (ignore - only used for sorting),Outcome Order (ignore - only used for sorting),Task Category,Task,Processing Stage,Sub-task,Outcome,Hazard,Rationale,Likely Causes,Mitigations,Notes
4,3,Monitoring and Situation Assessment,Validate mission plan,Decision,Decide whether mission can proceed,Incorrectly approve mission plan,Decision error; Violation,,,,
4,4,Monitoring and Situation Assessment,Validate mission plan,Decision,Decide whether mission can proceed,Incorrectly disapprove mission plan,Decision error; Violation,,,,
1,1,Monitoring and Situation Assessment,Validate team readiness,Info Acquisition,Verbally obtain other teammates' status,All relevant information accurately obtained,None,,,,
1,2,Monitoring and Situation Assessment,Validate team readiness,Info Acquisition,Verbally obtain other teammates' status,Teammate is misheard,Perception error,mishearing,low perceptibility of information; perceptual ability,,
1,3,Monitoring and Situation Assessment,Validate team readiness,Info Acquisition,Verbally obtain other teammates' status,Teammate is not heard,Perception error,mishearing,low perceptibility of information; perceptual ability,,
2,1,Monitoring and Situation Assessment,Validate team readiness,Assessment,Determine each teammate's readiness,Correctly interpret teammate as ready,None,,,,
2,2,Monitoring and Situation Assessment,Validate team readiness,Assessment,Determine each teammate's readiness,Correctly interpret teammate as not ready,None,,,,
2,3,Monitoring and Situation Assessment,Validate team readiness,Assessment,Determine each teammate's readiness,Incorrectly interpret teammate as ready,Skill-based error; Decision error,"""Highly practiced behavior that occurs with little or no conscious thought""; ""misinterpretation of relevant information""",,,
2,4,Monitoring and Situation Assessment,Validate team readiness,Assessment,Determine each teammate's readiness,Incorrectly interpret teammate as not ready,Skill-based error; Decision error,"""Highly practiced behavior that occurs with little or no conscious thought""; ""misinterpretation of relevant information""",,,
3,1,Monitoring and Situation Assessment,Validate team readiness,Decision,Decide team is ready,Correctly decide team is ready,None,,,,
3,2,Monitoring and Situation Assessment,Validate team readiness,Decision,Decide team is ready,Correctly decide team is not ready,None,,,,
3,3,Monitoring and Situation Assessment,Validate team readiness,Decision,Decide team is ready,Incorrectly decide team is ready,Decision error; Violation,,,,
3,4,Monitoring and Situation Assessment,Validate team readiness,Decision,Decide team is ready,Incorrectly decide team is not ready,Decision error; Violation,,,,
1,1,Monitoring and Situation Assessment,Validate UAV position,Info Acquisition,Perceive display,All relevant information accurately extracted,None,,,,
1,2,Monitoring and Situation Assessment,Validate UAV position,Info Acquisition,Perceive display,Inaccurate information acquired,Perception error,"""misjudgments"" or ""visual illusions""",Visual illusions,,
1,3,Monitoring and Situation Assessment,Validate UAV position,Info Acquisition,Perceive display,Some relevant information not acquired,Skill-based error; Perception Error,"""breakdown in visual scan patterns""","Breakdown in visual scan pattern; Channelized attention, C2 Station Malfunction",,
2,1,Monitoring and Situation Assessment,Validate UAV position,Info Acquisition,Recall mission plan,Recall all relevant information correctly,None,,,,
2,2,Monitoring and Situation Assessment,Validate UAV position,Info Acquisition,Recall mission plan,Recall incorrect information,Skill-based error; Knowledge error,misremembering or flawed knowledge,,,
2,3,Monitoring and Situation Assessment,Validate UAV position,Info Acquisition,Recall mission plan,Fail to recall relevant information,Knowledge error,forgetting or missing knowledge,,,
3,1,Monitoring and Situation Assessment,Validate UAV position,Assessment,Compare UAV position to mission plan,Correctly determine UAV position conforms to mission plan,None,,,,
3,2,Monitoring and Situation Assessment,Validate UAV position,Assessment,Compare UAV position to mission plan,Correctly determine UAV position does not conform to mission plan,None,,,,
3,3,Monitoring and Situation Assessment,Validate UAV position,Assessment,Compare UAV position to mission plan,Incorrectly determine UAV position conforms to mission plan,Skill-based error; Decision error,,,,
3,4,Monitoring and Situation Assessment,Validate UAV position,Assessment,Compare UAV position to mission plan,Incorrectly determine UAV position does not conform to mission plan,Skill-based error; Decision error,,,,
4,1,Monitoring and Situation Assessment,Validate UAV position,Decision,Decide whether the UAV is in the correct position,Correctly decide UAV is in the correct position,None,,,,
4,2,Monitoring and Situation Assessment,Validate UAV position,Decision,Decide whether the UAV is in the correct position,Correctly decide UAV is in the incorrect position,None,,,,
4,3,Monitoring and Situation Assessment,Validate UAV position,Decision,Decide whether the UAV is in the correct position,Incorrectly decide UAV is in the correct position,Decision error; Violation,,,,
4,4,Monitoring and Situation Assessment,Validate UAV position,Decision,Decide whether the UAV is in the correct position,Incorrectly decide UAV is in the incorrect position,Decision error,,,,
1,1,Monitoring and Situation Assessment,Verify locations within view of Surveillance UAV,Info Acquisition,Perceive Display,All relevant information accurately extracted,None,,,,
1,2,Monitoring and Situation Assessment,Verify locations within view of Surveillance UAV,Info Acquisition,Perceive Display,Inaccurate information acquired,Perception error,"""misjudgments"" or ""visual illusions""",Visual illusions,,
1,3,Monitoring and Situation Assessment,Verify locations within view of Surveillance UAV,Info Acquisition,Perceive Display,Some relevant information not acquired,Skill-based error; Perception Error,"""breakdown in visual scan patterns""","Breakdown in visual scan pattern; Channelized attention, C2 Station Malfunction",,
2,1,Monitoring and Situation Assessment,Verify locations within view of Surveillance UAV,Info Acquisition,Recall mission plan,Recall all relevant information correctly,None,,,,
2,2,Monitoring and Situation Assessment,Verify locations within view of Surveillance UAV,Info Acquisition,Recall mission plan,Recall incorrect information,Skill-based error; Knowledge error,misremembering or flawed knowledge,,,
2,3,Monitoring and Situation Assessment,Verify locations within view of Surveillance UAV,Info Acquisition,Recall mission plan,Fail to recall relevant information,Knowledge error,forgetting or missing knowledge,,,
3,1,Monitoring and Situation Assessment,Verify locations within view of Surveillance UAV,Assessment,Compare current surveillance area to mission plan,Correctly determine surveillance area conforms to mission plan,None,,,,
3,2,Monitoring and Situation Assessment,Verify locations within view of Surveillance UAV,Assessment,Compare current surveillance area to mission plan,Correctly determine surveillance area does not conform to mission plan,None,,,,
3,3,Monitoring and Situation Assessment,Verify locations within view of Surveillance UAV,Assessment,Compare current surveillance area to mission plan,Incorrectly determine surveillance area conforms to mission plan,Skill-based error; Decision error,,,,
3,4,Monitoring and Situation Assessment,Verify locations within view of Surveillance UAV,Assessment,Compare current surveillance area to mission plan,Incorrectly determine surveillance area does not conform to mission plan,Skill-based error; Decision error,,,,
4,1,Monitoring and Situation Assessment,Verify locations within view of Surveillance UAV,Decision,Decide whether current surveillance area is appropriate,Correctly decide the surveillance area is appropriate,None,,,,
4,2,Monitoring and Situation Assessment,Verify locations within view of Surveillance UAV,Decision,Decide whether current surveillance area is appropriate,Correctly decide the surveillance area is not appropriate,None,,,,
4,3,Monitoring and Situation Assessment,Verify locations within view of Surveillance UAV,Decision,Decide whether current surveillance area is appropriate,Incorrectly decide the surveillance area is appropriate,Decision error; Violation,,,,
4,4,Monitoring and Situation Assessment,Verify locations within view of Surveillance UAV,Decision,Decide whether current surveillance area is appropriate,Incorrectly decide the surveillance area is not appropriate,Decision error,,,,
